Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2551","Nuts and products","2018","2018","kcal/capita/day","38","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2555","Soyabeans","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2552","Groundnuts","2018","2018","kcal/capita/day","8","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2558","Rape and Mustardseed","2018","2018","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2560","Coconuts - Incl Copra","2018","2018","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2561","Sesame seed","2018","2018","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2563","Olives (including preserved)","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2570","Oilcrops, Other","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2571","Soyabean Oil","2018","2018","kcal/capita/day","109","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2572","Groundnut Oil","2018","2018","kcal/capita/day","74","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2573","Sunflowerseed Oil","2018","2018","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2577","Palm Oil","2018","2018","kcal/capita/day","29","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2580","Olive Oil","2018","2018","kcal/capita/day","20","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2582","Maize Germ Oil","2018","2018","kcal/capita/day","34","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2586","Oilcrops Oil, Other","2018","2018","kcal/capita/day","114","Fc","Calculated data"
