Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2511","Wheat and products","2018","2018","kcal/capita/day","600","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2807","Rice and products","2018","2018","kcal/capita/day","87","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2513","Barley and products","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2514","Maize and products","2018","2018","kcal/capita/day","43","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2515","Rye and products","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2516","Oats","2018","2018","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2518","Sorghum and products","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2520","Cereals, Other","2018","2018","kcal/capita/day","13","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2532","Cassava and products","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2531","Potatoes and products","2018","2018","kcal/capita/day","78","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2533","Sweet potatoes","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2534","Roots, Other","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2542","Sugar (Raw Equivalent)","2018","2018","kcal/capita/day","428","Fc","Calculated data"
"FBS","Food Balances (2014-)","10","Australia","664","Food supply (kcal/capita/day)","2543","Sweeteners, Other","2018","2018","kcal/capita/day","25","Fc","Calculated data"
