Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2546","Beans","2018","2018","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2547","Peas","2018","2018","kcal/capita/day","8","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2549","Pulses, Other and products","2018","2018","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2601","Tomatoes and products","2018","2018","kcal/capita/day","15","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2602","Onions","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2605","Vegetables, Other","2018","2018","kcal/capita/day","60","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2611","Oranges, Mandarines","2018","2018","kcal/capita/day","43","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2612","Lemons, Limes and products","2018","2018","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2613","Grapefruit and products","2018","2018","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2614","Citrus, Other","2018","2018","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2615","Bananas","2018","2018","kcal/capita/day","23","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2616","Plantains","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2617","Apples and products","2018","2018","kcal/capita/day","41","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2618","Pineapples and products","2018","2018","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2619","Dates","2018","2018","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2620","Grapes and products (excl wine)","2018","2018","kcal/capita/day","24","Fc","Calculated data"
"FBS","Food Balances (2014-)","150","Netherlands","664","Food supply (kcal/capita/day)","2625","Fruits, Other","2018","2018","kcal/capita/day","38","Fc","Calculated data"
