"ID";"Periods";"CrudeBirthRate_1";"LiveBirthsToTeenageMothers_2";"LiveBirthsTo35Mothers_3";"LiveBirthsTo40Mothers_4";"AllCausesOfDeath_5";"MalignantNeoplasms_6";"DiseasesOfTheCirculatorySystem_7";"DiseasesOfTheRespiratorySystem_8";"DiseasesOfTheDigestiveSystem_9";"RoadAccidentsRelative_10";"RoadAccidents_11";"SuicideSelfInflictedInjuryRelative_12";"SuicideAndSelfInflictedInjury_13";"PregnancyDurationAtLeast24Weeks_14";"PregnancyLastingAtLeast22WksWHO_15";"AtBirthMen_16";"AtBirthWomen_17";"AtAge65Men_18";"AtAge65Women_19";"AtBirthMen_20";"AtBirthWomen_21";"AtAge65Men_22";"AtAge65Women_23";"SelfPerceivedHealthLessThanGood_24";"DigestiveComplaintsOrDiseases_25";"CardiovascularComplaintsOrDiseases_26";"RespiratoryComplaintsOrDiseases_27";"UrologicalComplaintsOrDiseases_28";"AllDiagnoses_29";"MalignantNeoplasms_30";"DiseasesOfTheCirculatorySystem_31";"DiseasesOfTheRespiratorySystem_32";"DiseasesOfTheDigestiveSystem_33";"DisMusculoskeletalSystAndConnectiv_34";"DiseasesOfTheGenitourinarySystem_35";"CertainConditionsInPerinatalPeriod_36";"InjuryPoisoningOtherExternalCauses_37";"SicknessAbsence_38";"AveragePeriodOfHospitalisation_39";"AllDrugs_40";"DiabetesDrugs_41";"BetaBlockingAgents_42";"LipidModifyingAgents_43";"Antibiotics_44";"Antidepressants_45";"DrugsForObstructiveAirwayDiseases_46";"GeneralPractitionerGP_47";"PhysiotherapistOrExerciseTherapist_48";"PersonsAged80OrOlder_49";"TotalResidentialCare_50";"NoCarePackageZzp_51";"NursingAndCare_52";"CareForTheDisabled_53";"MentalHealthCare_54";"TotalIndicationsResidentialCare_55";"SomaticCondition_56";"PsychogeriatricDisorder_57";"PsychiatricDisorder_58";"PhysicalDisability_59";"MentalDisability_60";"SensoryDisability_61";"TotalOfYouthCare0To23Year_62";"YouthAssistence0To23Year_63";"YouthProtection0To18Year_64";"JuvenileRehabilitation12To23Year_65";"Smokers_66";"HeavySmokers_67";"HeavyDrinkers12YearsOrOlder_68";"ComplyPhysicalActivityGuidelines4_69";"ModeratelyOverweight20_70";"SeriouslyOverweightObese20_71";"ModeratelyOverweight420Yrs_72";"SeriouslyOverweightObese420Yrs_73";"HighBloodPressure12YearsOrOlder_74";"PhysiciansEmployedInCare_75";"NursesEmployedInCare_76";"EmployedInHealthAndWelfare_77";"EmployedInHealthCare_78";"MboCaringGraduates_79";"MboNursingGraduates_80";"HboNursingGraduates_81";"MedicineGraduatesUniversity_82";"TotalExpenditureByCareProviders_83";"HospitalsAndMedicalSpecialists_84";"ProvidersOfLongTermCareForElderly_85";"ProvidersOfCareForTheHandicapped_86";"PrimaryCarePractices_87";"ProvidersOfMentalHealthCare_88";"OtherCareProviders_89";"PerCapitaCareExpenditure_90";"ExpenditureAsPercentageOfTheGDP_91";"GPPractice_92";"EmergencyGP_93";"Pharmacy_94";"HospitalInclOutpatientsClinic_95";"Physiotherapist_96";"Hospitals_97";"k_86104MentalHealthHospitals_98";"k_872087301CareForTheDisabled_99";"NursingHomesAndHomeCare_100";"Hospitals_101";"k_86104MentalHealthHospitals_102";"k_872087301CareForTheDisabled_103";"NursingHomesAndHomeCare_104"
"0";"2001JJ00";"    12.6";"    3569";"   36833";"    4344";"    87.5";"    23.5";"    29.7";"     8.3";"     3.3";"     0.6";"     996";"     0.9";"    1473";"     9.2";"       .";"    75.8";"    80.7";"    15.9";"    19.7";"    61.8";"    61.6";"     9.2";"    10.4";"    19.2";"       .";"       .";"       .";"       .";"    1521";"     113";"     168";"     101";"     111";"     150";"      81";"      43";"      82";"     5.5";"     8.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     4.0";"     2.8";"  516637";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"33.3";"9.8";"    13.6";"       .";"35.3";"9.6";"9.2";"2.5";"     8.6";"33495";"154005";"1049";"413";"       .";"       .";"    2512";"    2996";"50.8";"12.2";"9.8";"4.6";"4.2";"3.1";"16.8";"3164";"10.5";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1";"2002JJ00";"    12.5";"    3516";"   37491";"    4500";"    88.2";"    23.6";"    29.7";"     8.4";"     3.5";"     0.6";"    1004";"     1.0";"    1567";"     8.8";"       .";"    76.0";"    80.7";"    16.0";"    19.7";"    62.0";"    61.9";"     9.6";"    10.8";"    19.4";"       .";"       .";"       .";"       .";"    1620";"     120";"     176";"     103";"     118";"     163";"      86";"      43";"      84";"     5.4";"     7.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.8";"     2.8";"  531607";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"32.3";"8.6";"    11.7";"       .";"35.0";"10.1";"9.1";"2.7";"     9.7";"34455";"158530";"1105";"426";"       .";"       .";"    2670";"    3218";"56.7";"13.8";"11.1";"5.3";"4.8";"3.5";"18.2";"3509";"11.3";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2";"2003JJ00";"    12.3";"    3340";"   38870";"    4595";"    87.5";"    23.5";"    28.9";"     8.8";"     3.6";"     0.6";"    1033";"     0.9";"    1500";"     8.3";"       .";"    76.2";"    80.9";"    16.2";"    19.9";"    62.4";"    61.6";"     9.8";"    10.7";"    19.5";"       .";"       .";"       .";"       .";"    1715";"     127";"     182";"     108";"     127";"     170";"      91";"      43";"      88";"     4.7";"     7.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.9";"     3.0";"  543970";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"30.8";"8.2";"    11.3";"       .";"35.3";"11.1";"7.8";"2.6";"     9.6";"35395";"163385";"1152";"446";"       .";"       .";"    2523";"    3284";"60.9";"14.7";"12.1";"5.8";"5.2";"3.9";"19.2";"3753";"11.9";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"3";"2004JJ00";"    11.9";"    3004";"   39386";"    4945";"    83.9";"    23.9";"    27.4";"     7.8";"     3.4";"     0.5";"     836";"     0.9";"    1514";"     7.8";"     9.2";"    76.9";"    81.4";"    16.6";"    20.3";"    62.6";"    62.0";"     9.7";"    10.6";"    19.6";"       .";"       .";"       .";"       .";"    1839";"     145";"     195";"     108";"     136";"     188";"      97";"      43";"      93";"     4.2";"     7.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.5";"     2.9";"  558298";"     228";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"29.6";"7.4";"    11.9";"       .";"35.5";"11.4";"9.8";"2.8";"     9.9";"36390";"166645";"1152";"455";"       .";"       .";"    2404";"    3307";"63.0";"15.6";"12.2";"6.1";"5.3";"4.2";"19.6";"3870";"11.9";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"4";"2005JJ00";"    11.5";"    2795";"   39974";"    5032";"    83.6";"    24.1";"    26.6";"     8.8";"     3.3";"     0.5";"     760";"     1.0";"    1572";"     8.1";"     9.8";"    77.2";"    81.6";"    16.8";"    20.4";"    62.5";"    61.8";"    10.4";"    10.1";"    20.1";"       .";"       .";"       .";"       .";"    1918";"     155";"     201";"     114";"     143";"     198";"      99";"      42";"      96";"     4.1";"     6.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.6";"     2.9";"  573573";"     230";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"29.5";"7.7";"    10.8";"       .";"34.1";"11.1";"10.7";"2.2";"    11.1";"37250";"169095";"1191";"471";"       .";"       .";"    2286";"    3321";"65.4";"16.3";"12.6";"6.3";"5.3";"4.5";"20.4";"4009";"11.9";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"5";"2006JJ00";"    11.3";"    2549";"   40307";"    5071";"    82.8";"    24.2";"    25.5";"     8.4";"     3.3";"     0.5";"     754";"     0.9";"    1524";"     7.1";"     9.1";"    77.6";"    81.9";"    17.1";"    20.6";"    63.6";"    62.9";"    10.3";"    11.4";"    19.1";"       .";"       .";"       .";"       .";"    2024";"     170";"     204";"     119";"     150";"     204";"      99";"      42";"      98";"     4.2";"     6.6";"    67.5";"     3.8";"     8.6";"     8.1";"    23.0";"     5.1";"     8.4";"     3.6";"     2.9";"  587016";"     232";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"29.6";"7.2";"    11.3";"       .";"35.1";"11.7";"9.2";"2.0";"    11.8";"38130";"170055";"1225";"481";"       .";"       .";"    2252";"    3385";"68.5";"17.1";"13.1";"6.7";"5.9";"4.8";"21.0";"4190";"11.7";".";".";".";".";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"6";"2007JJ00";"    11.1";"    2543";"   40609";"    5231";"    81.2";"    24.3";"    24.9";"     8.3";"     3.3";"     0.5";"     770";"     0.8";"    1353";"     6.7";"     8.9";"    78.0";"    82.3";"    17.4";"    20.9";"    64.7";"    63.4";"    11.2";"    11.5";"    18.8";"       .";"       .";"       .";"       .";"    2120";"     176";"     207";"     120";"     157";"     215";"     105";"      41";"     102";"     4.2";"     6.3";"    67.9";"     3.9";"     9.0";"     8.7";"    23.7";"     5.4";"     8.9";"     3.8";"     3.3";"  600842";"     239";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"27.9";"6.7";"    10.7";"       .";"34.1";"11.6";"9.0";"2.4";"    12.0";"40455";"169755";"1261";"494";"       .";"       .";"    2372";"    3705";"72.7";"18.1";"13.3";"6.9";"6.4";"5.2";"22.8";"4439";"11.7";"0.9";"6.0";".";"5.3";".";"      21";"      26";"      26";"      39";"    92.5";"    77.1";"    63.6";"    64.7"
"7";"2008JJ00";"    11.2";"    2553";"   40905";"    5421";"    82.2";"    24.8";"    24.4";"     8.4";"     3.3";"     0.4";"     699";"     0.9";"    1435";"     6.3";"     8.6";"    78.3";"    82.3";"    17.6";"    20.9";"    63.7";"    63.5";"    10.4";"    11.4";"    19.4";"       .";"       .";"       .";"       .";"    2218";"     187";"     217";"     120";"     164";"     225";"     107";"      44";"     104";"     4.1";"     6.1";"    69.8";"     4.1";"     9.2";"     8.9";"    23.7";"     5.4";"     8.8";"     4.1";"     3.1";"  615489";"     239";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"27.6";"6.8";"    10.0";"       .";"35.6";"11.5";"10.5";"2.9";"    12.4";"41585";"173300";"1305";"507";"       .";"       .";"    2289";"    3783";"77.7";"19.7";"14.1";"7.6";"6.7";"5.5";"24.1";"4725";"12.0";"0.9";"6.0";"1.2";"5.2";"0.8";"      12";"      32";"      26";"      25";"    97.8";"    79.0";"    67.1";"    68.1"
"8";"2009JJ00";"    11.2";"    2636";"   40497";"    5721";"    81.2";"    25.0";"    23.5";"     8.4";"     3.1";"     0.4";"     683";"     0.9";"    1525";"     5.7";"     8.1";"    78.5";"    82.6";"    17.8";"    21.2";"    65.3";"    63.8";"    11.6";"    11.2";"    18.6";"       .";"       .";"       .";"       .";"    2328";"     196";"     227";"     125";"     176";"     236";"     109";"      46";"     115";"     4.1";"     5.8";"    70.1";"     4.2";"     9.5";"     9.3";"    23.8";"     5.4";"     9.1";"     3.8";"     3.3";"  631208";"     246";"       .";"       .";"       .";"       .";"     302";"     111";"      71";"      34";"      10";"      73";"       3";"       .";"       .";"       .";"       .";"27.1";"6.3";"    10.4";"       .";"35.3";"12.1";"11.0";"2.2";"    13.5";"42575";"175010";"1341";"515";"       .";"       .";"    2487";"    3677";"82.3";"21.3";"14.7";"8.3";"7.1";"6.0";"25.0";"4979";"13.2";"0.9";".";"1.2";"5.1";".";"      12";"      10";"      11";"      17";"   101.9";"    82.6";"    70.1";"    70.0"
"9";"2010JJ00";"    11.1";"    2536";"   39788";"    6088";"    81.9";"    25.5";"    23.5";"     7.8";"     3.2";"     0.4";"     597";"     1.0";"    1600";"     5.7";"     7.9";"    78.8";"    82.7";"    18.0";"    21.2";"    63.9";"    63.0";"    11.3";"    11.1";"    19.7";"       .";"       .";"       .";"       .";"    2438";"     209";"     234";"     127";"     194";"     248";"     113";"      49";"     121";"     4.2";"     5.6";"    70.1";"     4.4";"     9.7";"     9.8";"    23.2";"     5.5";"     9.1";"     4.2";"     3.7";"  647994";"     254";"       .";"       .";"       .";"       .";"     325";"     112";"      74";"      39";"      17";"      80";"       3";"       .";"       .";"       .";"       .";"25.6";"4.9";"     9.4";"       .";"36.8";"11.4";"10.5";"3.1";"    15.1";"43865";"178490";"1394";"526";"       .";"       .";"    2622";"    3699";"85.8";"22.5";"15.4";"8.6";"7.4";"6.1";"25.8";"5163";"13.4";"0.9";".";"1.2";"4.8";"0.8";"       7";"      15";"      15";"      17";"   107.5";"    84.5";"    71.2";"    69.4"
